P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType,Did the conclusion follow with logical neccesity 
20,20,1,1733,1612,1109,661,MP,Yes
20,21,8,673,773,632,791,DF,Yes
20,22,7,788,2444,1322,734,CF,No
20,23,6,1719,2587,844,1371,ACF,No
20,24,5,1246,1835,841,1616,MPF,No
20,25,4,2134,2294,1923,915,DB,No
20,26,3,616,594,628,570,CB,Yes
20,27,2,550,973,1442,656,AC,Yes
20,28,1,1817,1463,561,737,MP,Yes
20,29,8,9688,7968,4168,2144,DF,No
20,30,7,834,2622,1895,810,CF,No
20,31,6,1157,1639,1983,978,ACF,No
20,32,5,1582,1901,1787,1561,MPF,No
21,1,5,3117,2404,1218,1149,MPF,Yes
21,2,4,821,2206,1391,1915,DB,No
21,3,3,1055,1990,679,617,CB,Yes
21,4,2,1349,3750,1041,743,AC,Yes
21,5,1,1469,3296,2162,1204,MP,Yes
21,6,8,2945,6324,6420,4497,DF,No
21,7,7,3141,7355,4483,3178,CF,No
21,8,6,5095,3035,4554,1737,ACF,No
21,9,5,1929,1727,2621,2257,MPF,No
21,10,4,1592,2711,1021,2546,DB,Yes
21,11,3,712,3918,3486,892,CB,Yes
21,12,2,2531,4054,1466,505,AC,Yes
21,13,1,2253,4367,1106,1086,MP,Yes
21,14,8,2752,2090,6204,1074,DF,No
21,15,7,2589,558,1095,689,CF,No
21,16,6,2297,2958,2116,1164,ACF,No
21,17,5,2542,5610,683,744,MPF,No
21,18,4,485,1945,3091,1949,DB,No
21,19,3,1751,1917,5655,1403,CB,Yes
21,20,2,2751,4034,1215,987,AC,Yes
21,21,1,2286,2166,2144,1454,MP,Yes
21,22,8,1986,1393,4148,2751,DF,Yes
21,23,7,1749,3102,1899,2156,CF,No
21,24,6,1820,1458,1903,1138,ACF,No
21,25,5,1286,1622,1010,1932,MPF,No
21,26,4,1480,4425,1202,2452,DB,No
21,27,3,1120,3089,2122,3906,CB,Yes
21,28,2,2129,3068,1147,564,AC,Yes
21,29,1,2309,1981,1104,1475,MP,Yes
21,30,8,2095,4089,1835,1749,DF,No
21,31,7,2079,3624,1130,958,CF,No
21,32,6,1823,2498,876,802,ACF,No
22,1,6,2207,2344,1604,239,ACF,No
22,2,5,934,1411,2301,1710,MPF,No
22,3,4,1809,1102,607,518,DB,No
22,4,3,1056,515,420,640,CB,Yes
22,5,2,959,614,668,583,AC,Yes
22,6,1,1157,703,858,482,MP,Yes
22,7,8,1211,1480,978,576,DF,Yes
22,8,7,1388,1689,1147,1090,CF,No
22,9,6,2098,1761,1289,347,ACF,No
22,10,5,596,454,457,658,MPF,No
22,11,4,878,672,1066,1205,DB,No
22,12,3,346,527,352,128,CB,Yes
22,13,2,2760,1129,1096,208,AC,Yes
22,14,1,1145,1181,443,407,MP,Yes
22,15,8,1438,1401,1391,503,DF,Yes
22,16,7,1036,1613,1286,609,CF,No
22,17,6,3479,2555,2410,1954,ACF,Yes
22,18,5,730,1967,840,500,MPF,No
22,19,4,748,1335,966,265,DB,No
22,20,3,402,373,190,224,CB,Yes
22,21,2,1591,1995,322,791,AC,Yes
22,22,1,702,792,409,509,MP,Yes
22,23,8,1435,489,587,604,DF,Yes
22,24,7,1942,1654,1939,794,CF,No
22,25,6,2489,1762,1074,1570,ACF,No
22,26,5,772,826,627,431,MPF,No
22,27,4,938,522,535,,DB,No
22,28,3,322,584,276,304,CB,Yes
22,29,2,1231,1025,351,654,AC,Yes
22,30,1,1277,1557,1598,302,MP,Yes
22,31,8,1010,1441,1010,376,DF,Yes
22,32,7,767,858,1048,419,CF,No
23,1,7,1008,1345,1587,567,CF,No
23,2,6,3796,2647,700,2022,ACF,No
23,3,5,4199,2620,1120,1895,MPF,No
23,4,4,924,1796,420,1017,DB,No
23,5,3,1804,2298,,1591,CB,Yes
23,6,2,2309,4524,2486,983,AC,Yes
23,7,1,2670,3222,,2268,MP,Yes
23,8,8,2115,2257,1783,771,DF,Yes
23,9,7,2038,2199,822,750,CF,No
23,10,6,2454,2893,2742,1585,ACF,No
23,11,5,2203,2258,1279,1295,MPF,No
23,12,4,2060,4959,2922,2721,DB,No
23,13,3,726,2333,964,1638,CB,No
23,14,2,1623,3036,1085,985,AC,Yes
23,15,1,1563,1279,635,867,MP,Yes
23,16,8,1857,2002,1166,2312,DF,Yes
23,17,7,2008,2326,1880,1351,CF,No
23,18,6,3293,2311,1365,1198,ACF,No
23,19,5,2378,2868,470,803,MPF,No
23,20,4,989,1427,562,,DB,No
23,21,3,1411,1444,901,1033,CB,Yes
23,22,2,4684,3437,1944,2174,AC,Yes
23,23,1,1754,890,593,1315,MP,Yes
23,24,8,1638,2137,2420,3960,DF,Yes
23,25,7,940,993,1243,873,CF,No
23,26,6,1361,2188,1621,1520,ACF,No
23,27,5,1651,1374,765,1713,MPF,No
23,28,4,1846,3302,545,2179,DB,No
23,29,3,843,1260,2859,1259,CB,Yes
23,30,2,4271,4016,3937,1308,AC,Yes
23,31,1,2342,2048,483,922,MP,Yes
23,32,8,1778,629,934,980,DF,Yes
24,1,8,3063,2977,2463,1931,DF,Yes
24,2,7,638,659,817,487,CF,No
24,3,6,2918,2657,4933,1511,ACF,No
24,4,5,1293,1283,1574,610,MPF,No
24,5,4,1186,927,486,535,DB,No
24,6,3,1601,1871,1102,708,CB,Yes
24,7,2,2349,1680,1704,1270,AC,Yes
24,8,1,1418,1116,1966,283,MP,Yes
24,9,8,4490,4690,3578,3283,DF,No
24,10,7,1442,2309,916,573,CF,No
24,11,6,4257,3858,2912,2640,ACF,No
24,12,5,2187,1670,1085,198,MPF,No
24,13,4,4757,4367,5105,1286,DB,No
24,14,3,1097,1732,788,319,CB,Yes
24,15,2,4385,3621,3365,1333,AC,Yes
24,16,1,4675,2478,3143,1821,MP,Yes
24,17,8,6597,5744,5869,3374,DF,Yes
24,18,7,3054,5233,2951,1252,CF,No
24,19,6,6212,2672,3515,1730,ACF,No
24,20,5,3226,789,651,403,MPF,No
24,21,4,1417,1321,1090,635,DB,No
24,22,3,3505,4821,1795,1054,CB,Yes
24,23,2,3796,4707,4260,3259,AC,Yes
24,24,1,1833,1567,647,783,MP,Yes
24,25,8,1176,965,1432,493,DF,Yes
24,26,7,2512,1201,1683,1040,CF,No
24,27,6,1541,1155,533,857,ACF,No
24,28,5,2084,2064,2542,1063,MPF,No
24,29,4,4171,4214,2124,1231,DB,Yes
24,30,3,841,1926,453,166,CB,Yes
24,31,2,6189,5642,4552,5720,AC,No
24,32,1,1716,1362,1488,1146,MP,Yes
25,1,1,1210,1066,359,261,MP,Yes
25,2,8,1642,2049,863,1155,DF,Yes
25,3,7,982,1226,1329,334,CF,Yes
25,4,6,1766,1744,1717,941,ACF,No
25,5,5,1227,1389,1149,437,MPF,No
25,6,4,1254,1182,1297,1175,DB,No
25,7,3,1038,531,477,253,CB,Yes
25,8,2,589,772,892,404,AC,Yes
25,9,1,613,1982,1054,382,MP,Yes
25,10,8,744,746,502,480,DF,Yes
25,11,7,1117,1084,1606,910,CF,No
25,12,6,1503,761,583,396,ACF,No
25,13,5,1301,765,521,226,MPF,No
25,14,4,812,631,742,584,DB,No
25,15,3,529,720,705,352,CB,Yes
25,16,2,1006,2307,465,197,AC,Yes
25,17,1,1106,1518,582,350,MP,Yes
25,18,8,1370,1442,615,662,DF,Yes
25,19,7,1043,1942,1596,728,CF,No
25,20,6,1244,1438,1167,308,ACF,No
25,21,5,1575,744,965,703,MPF,No
25,22,4,697,658,358,993,DB,No
25,23,3,1531,1493,448,356,CB,Yes
25,24,2,865,907,1026,420,AC,Yes
25,25,1,712,826,669,232,MP,Yes
25,26,8,1127,1103,720,622,DF,Yes
25,27,7,736,892,895,335,CF,No
25,28,6,1598,2032,1771,818,ACF,No
25,29,5,1097,1477,599,702,MPF,No
25,30,4,332,1029,600,610,DB,No
25,31,3,1219,2170,1217,750,CB,Yes
25,32,2,1190,1588,1023,1024,AC,Yes
26,1,2,846,1205,1434,1234,AC,Yes
26,2,1,907,1072,949,785,MP,Yes
26,3,8,567,1267,799,835,DF,No
26,4,7,2060,1405,5190,1527,CF,No
26,5,6,1973,1952,704,1870,ACF,No
26,6,5,3124,4150,2622,591,MPF,No
26,7,4,1171,1859,818,381,DB,No
26,8,3,346,528,1367,236,CB,Yes
26,9,2,515,842,511,314,AC,Yes
26,10,1,1062,2262,855,893,MP,Yes
26,11,8,1752,1285,432,1893,DF,Yes
26,12,7,2430,2500,2741,1640,CF,No
26,13,6,3108,2672,2273,1510,ACF,No
26,14,5,1798,1353,2124,503,MPF,No
26,15,4,1106,1090,870,630,DB,Yes
26,16,3,1101,1145,845,280,CB,Yes
26,17,2,955,1398,705,705,AC,Yes
26,18,1,797,1204,1559,690,MP,Yes
26,19,8,423,540,565,1274,DF,No
26,20,7,1021,1388,3249,702,CF,No
26,21,6,1059,2060,1858,1126,ACF,No
26,22,5,1215,1104,1788,899,MPF,No
26,23,4,1613,1183,555,883,DB,No
26,24,3,1068,1057,727,305,CB,Yes
26,25,2,1166,1968,1743,254,AC,Yes
26,26,1,1578,789,771,456,MP,Yes
26,27,8,1974,2447,2669,2638,DF,No
26,28,7,561,1154,1741,1099,CF,No
26,29,6,5258,4060,4410,2122,ACF,No
26,30,5,710,1162,901,316,MPF,No
26,31,4,1161,1703,1106,404,DB,Yes
26,32,3,1228,900,1438,529,CB,Yes
27,1,3,1285,1419,344,607,CB,Yes
27,2,2,898,984,334,554,AC,Yes
27,3,1,3215,2254,3180,1211,MP,Yes
27,4,8,1159,2213,2686,875,DF,Yes
27,5,7,2498,2614,2700,1325,CF,No
27,6,6,900,594,979,780,ACF,No
27,7,5,4827,4524,1144,506,MPF,Yes
27,8,4,4656,4812,448,544,DB,No
27,9,3,1888,1859,1166,579,CB,Yes
27,10,2,2558,3714,1252,1247,AC,Yes
27,11,1,4026,2012,566,387,MP,Yes
27,12,8,592,568,613,343,DF,Yes
27,13,7,2730,2159,3132,420,CF,No
27,14,6,4205,3523,2530,377,ACF,No
27,15,5,3857,2359,1284,2868,MPF,No
27,16,4,2585,2706,1573,598,DB,No
27,17,3,320,533,208,1089,CB,Yes
27,18,2,1275,1076,399,1645,AC,Yes
27,19,1,6799,6227,732,318,MP,Yes
27,20,8,1428,2954,465,1064,DF,Yes
27,21,7,733,924,872,1625,CF,No
27,22,6,4737,2783,1486,1401,ACF,No
27,23,5,1823,1234,1103,989,MPF,No
27,24,4,2208,2993,3030,1234,DB,No
27,25,3,3444,4143,3982,3338,CB,No
27,26,2,1104,1004,1112,724,AC,Yes
27,27,1,4445,4033,2825,1088,MP,Yes
27,28,8,5407,6406,5187,1777,DF,Yes
27,29,7,1181,786,2024,851,CF,No
27,30,6,1580,1517,2304,794,ACF,No
27,31,5,4862,5346,3998,3214,MPF,Yes
27,32,4,540,767,849,881,DB,No
28,1,4,1385,1742,1856,667,DB,No
28,2,3,1147,1407,747,2148,CB,Yes
28,3,2,1427,2804,1365,1304,AC,Yes
28,4,1,2192,1260,1554,1568,MP,Yes
28,5,8,3512,1907,850,784,DF,Yes
28,6,7,2877,3173,1799,1062,CF,Yes
28,7,6,1902,4107,972,1209,ACF,No
28,8,5,2631,3192,1181,345,MPF,No
28,9,4,682,1683,2670,2982,DB,No
28,10,3,1241,930,740,1083,CB,Yes
28,11,2,2625,3188,2766,1390,AC,Yes
28,12,1,1800,3150,1734,1152,MP,Yes
28,13,8,864,1246,1613,1961,DF,Yes
28,14,7,5169,4515,1067,358,CF,Yes
28,15,6,4814,6796,3142,1088,ACF,No
28,16,5,1527,1119,1212,1114,MPF,No
28,17,4,1934,2139,1447,588,DB,No
28,18,3,1800,3201,1041,1348,CB,Yes
28,19,2,801,1333,829,979,AC,Yes
28,20,1,791,2295,911,2624,MP,Yes
28,21,8,1294,1424,629,132,DF,Yes
28,22,7,2036,2191,1607,420,CF,Yes
28,23,6,1831,2509,1159,1610,ACF,No
28,24,5,558,908,979,275,MPF,No
28,25,4,557,1336,1201,363,DB,No
28,26,3,1242,2116,784,1738,CB,Yes
28,27,2,859,2029,1651,968,AC,Yes
28,28,1,851,1156,1306,1579,MP,Yes
28,29,8,950,1997,763,1065,DF,Yes
28,30,7,2090,3923,2211,710,CF,No
28,31,6,1249,1461,1148,1740,ACF,Yes
28,32,5,2313,1728,664,1372,MPF,No
29,1,5,2972,2512,1228,1635,MPF,No
29,2,4,1458,1712,1452,855,DB,No
29,3,3,561,1519,454,711,CB,Yes
29,4,2,1330,1934,1964,1072,AC,Yes
29,5,1,1635,2043,1119,1121,MP,Yes
29,6,8,2142,4213,2147,3184,DF,Yes
29,7,7,3797,2634,5974,7039,CF,No
29,8,6,603,1432,1572,531,ACF,No
29,9,5,1006,3187,882,1046,MPF,No
29,10,4,1434,1084,1082,945,DB,No
29,11,3,464,1681,384,684,CB,Yes
29,12,2,4575,8597,3671,2789,AC,Yes
29,13,1,3429,3823,6616,5819,MP,Yes
29,14,8,1594,1685,707,737,DF,Yes
29,15,7,2432,3336,2069,1843,CF,Yes
29,16,6,2793,3788,2729,2519,ACF,No
29,17,5,596,2397,842,938,MPF,No
29,18,4,1512,2185,660,1187,DB,No
29,19,3,2880,6920,966,3666,CB,Yes
29,20,2,958,1749,1389,1448,AC,Yes
29,21,1,200,2406,907,683,MP,Yes
29,22,8,1470,2500,635,546,DF,Yes
29,23,7,1091,1239,1655,788,CF,Yes
29,24,6,1740,1451,1607,1202,ACF,No
29,25,5,755,1755,1536,,MPF,No
29,26,4,1260,1826,1316,538,DB,No
29,27,3,1935,3822,1107,547,CB,Yes
29,28,2,1432,1435,905,510,AC,Yes
29,29,1,1292,2555,574,990,MP,Yes
29,30,8,2072,1961,785,514,DF,Yes
29,31,7,2232,1338,801,1649,CF,Yes
29,32,6,2581,2581,2181,1946,ACF,No
30,1,6,1620,2301,2010,620,ACF,Yes
30,2,5,1509,1158,2191,1163,MPF,Yes
30,3,4,770,1381,1762,740,DB,No
30,4,3,445,2519,1121,601,CB,Yes
30,5,2,870,1719,690,2142,AC,Yes
30,6,1,779,1800,1617,345,MP,Yes
30,7,8,1476,2040,1693,1155,DF,Yes
30,8,7,1272,2302,1366,1825,CF,No
30,9,6,580,1312,639,1525,ACF,No
30,10,5,454,1558,736,2017,MPF,No
30,11,4,906,945,702,610,DB,No
30,12,3,610,1176,590,1185,CB,Yes
30,13,2,1391,1516,851,441,AC,Yes
30,14,1,1169,1616,1283,1740,MP,Yes
30,15,8,911,1012,2336,1438,DF,Yes
30,16,7,1746,3906,2552,2234,CF,No
30,17,6,1303,1512,683,1140,ACF,No
30,18,5,2761,2734,2534,3181,MPF,No
30,19,4,637,1331,538,1452,DB,No
30,20,3,285,1705,586,948,CB,Yes
30,21,2,834,2527,1702,991,AC,Yes
30,22,1,1099,2107,481,356,MP,Yes
30,23,8,627,1821,1146,1173,DF,Yes
30,24,7,1174,3120,883,1062,CF,No
30,25,6,1328,2055,658,1279,ACF,No
30,26,5,1248,2344,2133,1774,MPF,No
30,27,4,374,939,1964,487,DB,No
30,28,3,837,1951,2238,928,CB,Yes
30,29,2,698,1352,1471,1294,AC,Yes
30,30,1,679,2043,610,337,MP,Yes
30,31,8,3517,2349,1940,727,DF,Yes
30,32,7,1956,4303,1477,396,CF,No
31,1,7,1541,1378,1435,571,CF,No
31,2,6,2029,2017,1166,761,ACF,No
31,3,5,1390,1169,1261,187,MPF,No
31,4,4,1736,1858,1030,,DB,No
31,5,3,577,567,767,,CB,Yes
31,6,2,1229,1448,2610,3420,AC,Yes
31,7,1,899,483,542,529,MP,Yes
31,8,8,3912,1079,1867,369,DF,Yes
31,9,7,2011,1831,999,771,CF,No
31,10,6,4365,5239,3316,1623,ACF,No
31,11,5,2446,1756,2342,473,MPF,No
31,12,4,1038,1459,1098,523,DB,No
31,13,3,508,530,525,378,CB,Yes
31,14,2,1744,1322,1183,1258,AC,Yes
31,15,1,1164,1976,1029,553,MP,Yes
31,16,8,499,842,911,364,DF,Yes
31,17,7,3660,4832,3504,1990,CF,No
31,18,6,987,2550,1798,375,ACF,No
31,19,5,3420,3379,2690,1902,MPF,No
31,20,4,1146,578,1179,188,DB,No
31,21,3,1046,982,918,333,CB,Yes
31,22,2,1335,800,557,304,AC,Yes
31,23,1,1426,1234,1246,726,MP,Yes
31,24,8,998,1175,586,696,DF,Yes
31,25,7,1480,2586,1154,1072,CF,No
31,26,6,3627,4012,2046,1002,ACF,No
31,27,5,2147,1094,1787,701,MPF,No
31,28,4,1266,645,607,248,DB,No
31,29,3,929,1045,459,294,CB,Yes
31,30,2,2575,2291,1736,986,AC,Yes
31,31,1,919,1078,524,574,MP,Yes
31,32,8,3416,2862,3171,2983,DF,Yes
32,1,8,567,870,509,921,DF,Yes
32,2,7,1539,1329,2118,1959,CF,No
32,3,6,2030,2220,1224,1595,ACF,Yes
32,4,5,1950,2383,1178,988,MPF,No
32,5,4,2862,2248,1768,943,DB,Yes
32,6,3,1489,2446,857,485,CB,Yes
32,7,2,2389,2997,1014,955,AC,Yes
32,8,1,2566,847,996,1004,MP,Yes
32,9,8,2838,4419,4074,2716,DF,Yes
32,10,7,1591,3223,5240,2616,CF,No
32,11,6,2011,2015,3656,1634,ACF,Yes
32,12,5,2998,3716,2698,1123,MPF,No
32,13,4,3074,3059,2887,2245,DB,No
32,14,3,1628,2270,1411,1279,CB,Yes
32,15,2,3970,1703,1289,995,AC,Yes
32,16,1,1798,1786,1375,1232,MP,Yes
32,17,8,1454,2126,3063,1077,DF,No
32,18,7,2054,2293,4227,1815,CF,Yes
32,19,6,1029,3788,4641,2939,ACF,No
32,20,5,1683,1152,4616,734,MPF,No
32,21,4,1785,2221,1496,979,DB,No
32,22,3,2111,1662,1155,480,CB,Yes
32,23,2,2613,2019,1853,782,AC,Yes
32,24,1,1125,1577,933,484,MP,Yes
32,25,8,1269,3182,2271,1094,DF,Yes
32,26,7,2108,1336,2020,2152,CF,Yes
32,27,6,2647,3034,3636,2099,ACF,Yes
32,28,5,1455,2957,3328,1235,MPF,No
32,29,4,1651,1643,1003,1342,DB,Yes
32,30,3,2520,1585,2043,1604,CB,Yes
32,31,2,2885,2176,1742,969,AC,Yes
32,32,1,2020,1658,675,1008,MP,Yes
33,1,1,1114,2340,755,443,MP,Yes
33,2,8,2243,2769,1608,883,DF,Yes
33,3,7,482,1379,929,1011,CF,No
33,4,6,1837,2995,2119,429,ACF,No
33,5,5,1987,2453,1628,,MPF,Yes
33,6,4,737,2026,1109,222,DB,No
33,7,3,1217,1897,1195,,CB,Yes
33,8,2,2064,1771,869,670,AC,Yes
33,9,1,518,474,802,,MP,Yes
33,10,8,543,1453,862,265,DF,Yes
33,11,7,2069,1876,620,922,CF,No
33,12,6,957,1558,867,199,ACF,No
33,13,5,1192,2100,1654,257,MPF,No
33,14,4,1172,2704,1716,575,DB,No
33,15,3,813,987,1300,394,CB,Yes
33,16,2,2523,3850,2054,,AC,Yes
33,17,1,1556,3026,585,259,MP,Yes
33,18,8,1369,2006,507,228,DF,Yes
33,19,7,2574,3977,1507,422,CF,No
33,20,6,1443,1057,579,1387,ACF,No
33,21,5,1060,1815,2169,,MPF,No
33,22,4,846,2067,782,169,DB,No
33,23,3,2099,1942,785,468,CB,Yes
33,24,2,2601,2209,1056,683,AC,No
33,25,1,915,2545,648,,MP,Yes
33,26,8,1212,1484,1179,,DF,Yes
33,27,7,1913,2055,1515,699,CF,No
33,28,6,1890,3450,1546,355,ACF,Yes
33,29,5,2389,2529,799,1738,MPF,No
33,30,4,8501,3440,1017,91,DB,Yes
33,31,3,1239,1467,916,346,CB,Yes
33,32,2,1893,2926,566,419,AC,No
34,1,2,329,775,,843,AC,Yes
34,2,1,709,1008,1836,797,MP,Yes
34,3,8,861,1724,1007,648,DF,Yes
34,4,7,947,1814,1275,357,CF,No
34,5,6,928,1133,768,965,ACF,No
34,6,5,1200,1732,463,1213,MPF,No
34,7,4,607,1030,733,1651,DB,No
34,8,3,795,1336,1024,445,CB,Yes
34,9,2,851,1718,703,,AC,Yes
34,10,1,1097,1216,1362,1928,MP,Yes
34,11,8,1239,1883,657,387,DF,Yes
34,12,7,1921,3438,888,1681,CF,No
34,13,6,842,549,1064,1181,ACF,No
34,14,5,2007,1419,1688,1027,MPF,No
34,15,4,1399,2271,2154,1045,DB,No
34,16,3,522,911,730,1364,CB,Yes
34,17,2,1083,1007,1082,559,AC,Yes
34,18,1,458,902,370,1424,MP,Yes
34,19,8,634,508,798,568,DF,Yes
34,20,7,1736,1513,2163,1092,CF,No
34,21,6,1669,1444,1249,828,ACF,No
34,22,5,2010,1261,1534,864,MPF,No
34,23,4,1503,2198,2320,879,DB,No
34,24,3,1321,1691,1578,3430,CB,Yes
34,25,2,800,1043,2244,250,AC,Yes
34,26,1,387,1274,438,745,MP,Yes
34,27,8,1137,1445,930,925,DF,Yes
34,28,7,638,988,681,642,CF,No
34,29,6,487,1085,1273,377,ACF,No
34,30,5,1104,1843,1531,1645,MPF,No
34,31,4,1894,1640,1329,3001,DB,No
34,32,3,496,569,796,262,CB,Yes
35,1,3,451,419,99,484,CB,Yes
35,2,2,1044,674,87,399,AC,Yes
35,3,1,513,1327,913,1122,MP,Yes
35,4,8,2363,2706,4536,2122,DF,No
35,5,7,330,2074,836,789,CF,No
35,6,6,2148,2426,1571,530,ACF,No
35,7,5,1957,1705,1561,1064,MPF,No
35,8,4,1090,2946,829,181,DB,No
35,9,3,1131,1733,293,,CB,Yes
35,10,2,1339,1112,553,445,AC,Yes
35,11,1,696,1323,538,229,MP,Yes
35,12,8,1085,860,1107,519,DF,Yes
35,13,7,800,1470,567,536,CF,No
35,14,6,1290,2471,2176,278,ACF,No
35,15,5,1280,845,734,287,MPF,No
35,16,4,1008,1226,915,490,DB,No
35,17,3,907,618,899,411,CB,Yes
35,18,2,464,1891,1300,930,AC,Yes
35,19,1,479,1324,771,471,MP,Yes
35,20,8,995,2458,945,783,DF,Yes
35,21,7,3669,2533,2191,1244,CF,No
35,22,6,2601,2475,2738,1722,ACF,No
35,23,5,2023,1835,962,501,MPF,No
35,24,4,968,1664,943,411,DB,Yes
35,25,3,1040,952,1741,586,CB,Yes
35,26,2,677,909,1331,352,AC,Yes
35,27,1,2401,2359,560,549,MP,Yes
35,28,8,1480,1311,1271,711,DF,Yes
35,29,7,1447,1058,455,823,CF,No
35,30,6,467,2026,1204,546,ACF,Yes
35,31,5,1225,1718,1500,367,MPF,No
35,32,4,1199,2169,1088,235,DB,No
36,1,4,722,1802,1247,585,DB,No
36,2,3,650,601,1338,,CB,Yes
36,3,2,2293,1963,3737,472,AC,No
36,4,1,902,812,810,823,MP,Yes
36,5,8,702,879,555,,DF,Yes
36,6,7,2103,2130,3583,762,CF,Yes
36,7,6,2279,2895,689,541,ACF,No
36,8,5,2505,2309,1331,835,MPF,No
36,9,4,2479,1939,1035,231,DB,No
36,10,3,960,1739,723,164,CB,Yes
36,11,2,846,1027,1087,1189,AC,No
36,12,1,517,1328,781,1398,MP,Yes
36,13,8,1224,784,173,,DF,Yes
36,14,7,993,1918,2805,1460,CF,No
36,15,6,1913,2250,2549,1175,ACF,No
36,16,5,2021,2523,2766,1424,MPF,No
36,17,4,668,1052,1499,174,DB,No
36,18,3,756,1437,560,709,CB,Yes
36,19,2,1685,1987,4103,1272,AC,No
36,20,1,1462,1613,1208,1762,MP,Yes
36,21,8,1691,593,791,181,DF,Yes
36,22,7,3704,4651,4761,847,CF,No
36,23,6,1938,1502,1833,1206,ACF,No
36,24,5,1499,1177,547,942,MPF,No
36,25,4,1313,1652,1514,837,DB,No
36,26,3,1055,1244,700,337,CB,Yes
36,27,2,2663,1434,1138,,AC,No
36,28,1,804,2439,753,852,MP,Yes
36,29,8,1219,2221,1907,1412,DF,Yes
36,30,7,1401,1998,2012,329,CF,No
36,31,6,1245,2069,1844,263,ACF,Yes
36,32,5,1657,1477,2368,555,MPF,No
37,1,5,716,1332,958,2209,MPF,No
37,2,4,922,1737,1405,687,DB,No
37,3,3,880,1206,501,579,CB,Yes
37,4,2,3240,1662,1655,830,AC,Yes
37,5,1,1737,2068,1242,799,MP,No
37,6,8,1198,1101,537,608,DF,Yes
37,7,7,1248,2219,3995,1879,CF,No
37,8,6,1693,2862,1358,1207,ACF,No
37,9,5,1197,877,737,818,MPF,No
37,10,4,2040,2406,3964,4675,DB,No
37,11,3,877,742,474,2028,CB,Yes
37,12,2,2539,2459,3542,2940,AC,Yes
37,13,1,1130,1058,275,315,MP,Yes
37,14,8,621,1141,1339,1533,DF,Yes
37,15,7,1917,5926,3795,5109,CF,Yes
37,16,6,674,1059,1876,743,ACF,No
37,17,5,1118,787,579,315,MPF,No
37,18,4,641,912,880,416,DB,No
37,19,3,1074,879,1430,1017,CB,Yes
37,20,2,2142,4275,1670,1483,AC,Yes
37,21,1,889,990,554,1237,MP,Yes
37,22,8,1992,1229,1983,1383,DF,Yes
37,23,7,1845,2699,3393,3227,CF,No
37,24,6,1247,1718,1319,1640,ACF,No
37,25,5,672,1160,656,751,MPF,No
37,26,4,836,1189,733,281,DB,No
37,27,3,1492,3445,3416,3250,CB,Yes
37,28,2,4325,4476,4924,3766,AC,No
37,29,1,946,876,916,601,MP,Yes
37,30,8,1860,1520,610,897,DF,No
37,31,7,908,1913,2150,630,CF,No
37,32,6,1351,1627,2841,415,ACF,No
38,1,6,1494,1675,976,1089,ACF,No
38,2,5,954,672,1084,1737,MPF,No
38,3,4,1124,2196,978,1150,DB,No
38,4,3,303,854,1078,1805,CB,Yes
38,5,2,1354,804,1716,827,AC,Yes
38,6,1,1126,1624,1035,667,MP,Yes
38,7,8,389,621,631,1353,DF,No
38,8,7,798,1095,1389,613,CF,No
38,9,6,881,1550,784,865,ACF,No
38,10,5,1317,1225,750,843,MPF,No
38,11,4,896,1004,770,699,DB,No
38,12,3,492,894,821,2339,CB,Yes
38,13,2,1396,1684,515,1293,AC,Yes
38,14,1,1369,1577,1200,967,MP,Yes
38,15,8,286,688,1452,1212,DF,Yes
38,16,7,1204,1654,1271,2119,CF,No
38,17,6,1273,1104,614,703,ACF,No
38,18,5,649,1571,626,1103,MPF,No
38,19,4,417,687,1031,933,DB,No
38,20,3,652,1277,883,1288,CB,Yes
38,21,2,1117,384,876,384,AC,Yes
38,22,1,322,925,714,1061,MP,Yes
38,23,8,730,1137,885,1072,DF,Yes
38,24,7,3156,1971,1406,1145,CF,No
38,25,6,986,782,1260,976,ACF,No
38,26,5,563,1057,573,1111,MPF,No
38,27,4,3621,5031,2908,8769,DB,No
38,28,3,249,334,625,1131,CB,Yes
38,29,2,905,783,1193,1057,AC,Yes
38,30,1,1323,1648,1701,1704,MP,Yes
38,31,8,703,894,568,969,DF,Yes
38,32,7,720,1806,1273,1874,CF,No
39,1,7,2532,2547,3867,2377,CF,No
39,2,6,2329,2504,2600,798,ACF,No
39,3,5,1419,1964,1088,1063,MPF,No
39,4,4,1397,3388,953,122,DB,No
39,5,3,1482,2998,1618,962,CB,No
39,6,2,1394,2999,1951,1032,AC,Yes
39,7,1,2612,1269,2656,1086,MP,Yes
39,8,8,2043,2143,1727,928,DF,Yes
39,9,7,781,2185,1626,395,CF,No
39,10,6,1647,1858,1803,729,ACF,No
39,11,5,1112,1173,775,379,MPF,No
39,12,4,2577,2491,1586,1531,DB,No
39,13,3,269,1113,316,1029,CB,Yes
39,14,2,1393,2353,1269,496,AC,Yes
39,15,1,1579,1877,448,634,MP,Yes
39,16,8,921,710,939,642,DF,Yes
39,17,7,2335,3102,1835,409,CF,No
39,18,6,1733,1839,1239,1043,ACF,No
39,19,5,1683,1790,1056,707,MPF,No
39,20,4,1590,1728,560,229,DB,No
39,21,3,197,1626,849,548,CB,Yes
39,22,2,1564,1393,873,524,AC,Yes
