P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
13,1,5,1431,1022,2000,3520,MPF
13,2,4,904,3033,1692,1171,DB
13,3,3,906,764,933,4237,CB
13,4,2,566,1684,709,1764,AC
13,5,1,1282,1148,1254,835,MP
13,6,8,1685,1260,1344,4853,DF
13,7,7,762,621,3874,805,CF
13,8,6,1050,1572,1238,5971,ACF
13,9,5,1615,807,1186,3011,MPF
13,10,4,855,887,1357,4794,DB
13,11,3,720,742,737,5251,CB
13,12,2,781,776,2682,2178,AC
13,13,1,868,847,1062,3645,MP
13,14,8,1132,1163,1603,6526,DF
13,15,7,1078,1348,,3632,CF
13,16,6,667,779,2459,3256,ACF
13,17,5,2063,2262,786,5162,MPF
13,18,4,661,1612,1016,3239,DB
13,19,3,682,750,1390,4999,CB
13,20,2,1486,699,893,5338,AC
13,21,1,2491,715,2873,1838,MP
13,22,8,1008,1224,919,2183,DF
13,23,7,834,909,3050,7741,CF
13,24,6,1231,1489,5478,,ACF
13,25,5,1026,1196,3453,6270,MPF
13,26,4,807,1470,621,8600,DB
13,27,3,828,2166,947,5518,CB
13,28,2,829,913,1763,1039,AC
13,29,1,711,813,1246,1076,MP
13,30,8,971,835,1001,10591,DF
13,31,7,846,768,,4735,CF
13,32,6,1118,1814,1983,6973,ACF
14,1,6,381,,887,4949,ACF
14,2,5,,,,,MPF
14,3,4,169,856,1759,3213,DB
14,4,3,137,426,2308,2095,CB
14,5,2,,,,1450,AC
14,6,1,197,,154,3925,MP
14,7,8,177,,465,513,DF
14,8,7,446,185,1557,2513,CF
14,9,6,198,,616,2198,ACF
14,10,5,,,1260,2357,MPF
14,11,4,,,334,645,DB
14,12,3,,,,1593,CB
14,13,2,1649,1404,3517,2067,AC
14,14,1,158,,1482,2080,MP
14,15,8,298,,1563,1671,DF
14,16,7,160,,1179,1334,CF
14,17,6,,,698,437,ACF
14,18,5,,,677,1051,MPF
14,19,4,573,313,227,2313,DB
14,20,3,168,153,230,3220,CB
14,21,2,830,990,1416,,AC
14,22,1,,,132,1330,MP
14,23,8,213,658,252,2303,DF
14,24,7,284,471,346,1314,CF
14,25,6,601,,694,1304,ACF
14,26,5,511,,293,2438,MPF
14,27,4,,,2059,2868,DB
14,28,3,641,571,1360,714,CB
14,29,2,,,581,2534,AC
14,30,1,150,,1460,983,MP
14,31,8,,,647,809,DF
14,32,7,,,134,1305,CF
15,1,7,1635,1416,998,2208,CF
15,2,6,608,1398,1307,3002,ACF
15,3,5,527,794,804,6555,MPF
15,4,4,1022,859,812,1512,DB
15,5,3,947,789,587,1743,CB
15,6,2,999,850,655,1192,AC
15,7,1,1917,885,500,789,MP
15,8,8,686,1073,1102,1284,DF
15,9,7,1053,2201,1085,5304,CF
15,10,6,1196,3353,1744,4772,ACF
15,11,5,1803,737,631,2097,MPF
15,12,4,1031,1862,862,3029,DB
15,13,3,668,866,522,5810,CB
15,14,2,950,1341,2716,4219,AC
15,15,1,1252,1119,518,813,MP
15,16,8,516,635,694,971,DF
15,17,7,966,1077,1120,2033,CF
15,18,6,1691,873,1609,1882,ACF
15,19,5,1612,1419,1006,6081,MPF
15,20,4,500,576,566,896,DB
15,21,3,1755,936,560,2289,CB
15,22,2,588,1470,1204,1422,AC
15,23,1,993,700,590,1857,MP
15,24,8,1343,1230,555,1182,DF
15,25,7,1544,1022,1793,1884,CF
15,26,6,619,830,891,1420,ACF
15,27,5,625,915,686,2596,MPF
15,28,4,610,776,683,1149,DB
15,29,3,1565,1032,430,1307,CB
15,30,2,1872,1605,1093,3052,AC
15,31,1,947,2425,781,959,MP
15,32,8,1069,1559,990,1670,DF
16,1,8,1824,828,666,2555,DF
