P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
12,4,1,0,0,1,1,MP
12,5,8,0,0,0,1,DF
12,6,7,0,1,1,1,CF
12,7,6,0,0,0,1,ACF
12,8,5,0,0,0,1,MPF
12,9,4,0,1,1,1,DB
12,10,3,0,0,0,1,CB
12,11,2,0,0,0,1,AC
12,12,1,0,0,1,1,MP
12,13,8,0,0,1,0,DF
12,14,7,0,0,1,1,CF
12,15,6,0,1,1,1,ACF
12,16,5,0,0,1,1,MPF
12,17,4,0,0,0,1,DB
12,18,3,0,0,0,0,CB
12,19,2,0,0,1,1,AC
12,20,1,0,1,0,0,MP
12,21,8,0,0,1,1,DF
12,22,7,0,0,1,1,CF
12,23,6,0,1,1,1,ACF
12,24,5,0,0,1,0,MPF
12,25,4,0,1,1,1,DB
12,26,3,0,0,1,1,CB
12,27,2,0,0,1,1,AC
12,28,1,0,1,1,1,MP
12,29,8,0,0,1,1,DF
12,30,7,0,0,0,1,CF
12,31,6,0,0,1,1,ACF
12,32,5,0,0,0,1,MPF
13,1,5,0,0,1,1,MPF
13,2,4,0,1,1,1,DB
13,3,3,0,0,0,1,CB
13,4,2,0,0,0,1,AC
13,5,1,0,0,0,0,MP
13,6,8,0,0,0,1,DF
13,7,7,0,0,1,1,CF
13,8,6,0,0,0,1,ACF
13,9,5,0,0,0,1,MPF
13,10,4,0,0,1,1,DB
13,11,3,0,0,0,1,CB
13,12,2,0,0,1,1,AC
13,13,1,0,0,0,1,MP
13,14,8,0,0,0,1,DF
13,15,7,0,0,0,1,CF
13,16,6,0,1,1,1,ACF
13,17,5,0,0,1,1,MPF
13,18,4,0,0,0,1,DB
13,19,3,0,0,1,1,CB
13,20,2,0,0,0,1,AC
13,21,1,0,0,1,1,MP
13,22,8,0,0,0,0,DF
13,23,7,0,0,1,1,CF
13,24,6,0,0,1,1,ACF
13,25,5,0,0,1,1,MPF
13,26,4,0,0,0,1,DB
13,27,3,0,0,0,1,CB
13,28,2,0,0,1,0,AC
13,29,1,0,0,1,1,MP
13,30,8,0,0,0,1,DF
13,31,7,0,0,0,1,CF
13,32,6,0,0,0,1,ACF
14,1,6,0,0,1,1,ACF
14,2,5,,,,,MPF
14,3,4,0,1,1,1,DB
14,4,3,0,0,1,1,CB
14,5,2,0,0,0,0,AC
14,6,1,0,0,0,1,MP
14,7,8,0,0,0,0,DF
14,8,7,0,0,1,1,CF
14,9,6,0,0,1,1,ACF
14,10,5,0,0,1,1,MPF
14,11,4,0,0,0,0,DB
14,12,3,0,0,0,0,CB
14,13,2,0,1,1,1,AC
14,14,1,0,0,1,1,MP
14,15,8,0,0,1,1,DF
14,16,7,0,0,1,0,CF
14,17,6,0,0,0,1,ACF
14,18,5,0,0,0,1,MPF
14,19,4,0,0,0,1,DB
14,20,3,0,0,0,1,CB
14,21,2,0,0,1,0,AC
14,22,1,0,0,0,0,MP
14,23,8,0,0,0,1,DF
14,24,7,0,0,0,1,CF
14,25,6,0,0,0,0,ACF
14,26,5,0,0,0,1,MPF
14,27,4,0,0,0,1,DB
14,28,3,0,0,0,1,CB
14,29,2,0,0,0,1,AC
14,30,1,0,0,1,1,MP
14,31,8,0,0,0,1,DF
14,32,7,0,0,0,1,CF
15,1,7,0,1,1,0,CF
15,2,6,0,1,1,1,ACF
15,3,5,0,0,0,1,MPF
15,4,4,0,0,0,0,DB
15,5,3,0,0,0,0,CB
15,6,2,0,0,0,0,AC
15,7,1,0,0,0,0,MP
15,8,8,0,0,0,1,DF
15,9,7,0,0,0,1,CF
15,10,6,0,1,1,1,ACF
15,11,5,0,0,0,1,MPF
15,12,4,0,1,1,1,DB
15,13,3,0,0,0,1,CB
15,14,2,0,0,1,1,AC
15,15,1,0,0,0,0,MP
15,16,8,0,0,0,0,DF
15,17,7,0,0,0,0,CF
15,18,6,0,0,1,0,ACF
15,19,5,0,0,1,1,MPF
15,20,4,0,0,0,1,DB
15,21,3,0,0,0,1,CB
15,22,2,0,0,1,1,AC
15,23,1,0,0,0,1,MP
15,24,8,0,0,0,0,DF
15,25,7,0,0,1,1,CF
15,26,6,0,0,0,0,ACF
15,27,5,0,1,0,1,MPF
15,28,4,0,0,1,0,DB
15,29,3,0,0,0,0,CB
15,30,2,0,0,0,1,AC
15,31,1,0,1,0,0,MP
15,32,8,0,1,0,0,DF
16,1,8,0,0,0,1,DF
16,2,7,0,0,1,1,CF
16,3,6,0,0,1,1,ACF
16,4,5,0,1,0,0,MPF
16,5,4,0,0,0,1,DB
16,6,3,0,0,1,1,CB
16,7,2,0,0,0,1,AC
16,8,1,0,0,0,1,MP
16,9,8,0,0,1,0,DF
16,10,7,0,1,1,1,CF
16,11,6,0,0,0,1,ACF
16,12,5,0,0,1,0,MPF
16,13,4,0,0,0,0,DB
16,14,3,0,0,0,1,CB
16,15,2,0,0,0,1,AC
16,16,1,0,0,0,1,MP
16,17,8,0,0,0,1,DF
16,18,7,0,0,0,1,CF
16,19,6,0,0,0,1,ACF
16,20,5,0,0,0,1,MPF
16,21,4,0,0,0,1,DB
16,22,3,0,1,0,1,CB
16,23,2,0,0,0,1,AC
16,24,1,0,0,1,0,MP
16,25,8,0,0,0,1,DF
16,26,7,0,0,1,1,CF
16,27,6,0,0,1,1,ACF
16,28,5,0,0,1,1,MPF
16,29,4,0,0,0,1,DB
16,30,3,0,0,0,1,CB
16,31,2,0,0,0,1,AC
16,32,1,0,0,0,0,MP
17,1,1,0,1,0,1,MP
17,2,8,0,0,0,1,DF
17,3,7,0,0,0,1,CF
17,4,6,0,1,1,0,ACF
17,5,5,0,0,0,0,MPF
17,6,4,0,0,0,1,DB
17,7,3,0,0,0,1,CB
17,8,2,0,0,0,1,AC
17,9,1,0,1,0,0,MP
17,10,8,0,0,0,1,DF
17,11,7,0,0,1,1,CF
17,12,6,0,0,0,1,ACF
17,13,5,0,1,0,1,MPF
17,14,4,0,0,1,0,DB
17,15,3,0,0,0,0,CB
17,16,2,0,0,0,1,AC
17,17,1,0,0,0,1,MP
17,18,8,0,0,0,0,DF
17,19,7,0,0,1,1,CF
17,20,6,0,1,1,1,ACF
17,21,5,0,0,1,0,MPF
17,22,4,0,0,1,0,DB
17,23,3,0,0,1,1,CB
