P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
16,15,2,2140,1256,995,1805,AC
16,16,1,2356,1890,2530,2156,MP
16,17,8,2689,3168,1790,1039,DF
16,18,7,3312,3115,3341,2626,CF
16,19,6,2062,2745,3668,521,ACF
16,20,5,2164,1944,1063,626,MPF
16,21,4,1215,2334,1679,1766,DB
16,22,3,1637,1458,504,1193,CB
16,23,2,1727,1840,1010,1683,AC
16,24,1,1946,2844,1780,627,MP
16,25,8,2823,2623,1346,1660,DF
16,26,7,2443,2134,3924,1368,CF
16,27,6,1910,2316,1629,440,ACF
16,28,5,6981,4898,2840,2008,MPF
16,29,4,1750,2414,2698,741,DB
16,30,3,2020,1652,976,1140,CB
16,31,2,1606,1063,1264,1238,AC
16,32,1,1624,1666,950,144,MP
17,1,1,1001,1644,674,904,MP
17,2,8,792,2327,621,1349,DF
17,3,7,522,1350,1003,666,CF
17,4,6,968,533,740,724,ACF
17,5,5,1112,892,623,976,MPF
17,6,4,1049,1802,1646,897,DB
17,7,3,819,1048,479,576,CB
17,8,2,981,2931,1129,2818,AC
17,9,1,1654,1928,445,507,MP
17,10,8,725,910,1381,540,DF
17,11,7,580,1623,1268,1846,CF
17,12,6,672,1394,771,308,ACF
17,13,5,1405,1609,1065,244,MPF
17,14,4,995,1757,1034,1587,DB
17,15,3,703,689,407,10533,CB
17,16,2,3236,2614,2623,874,AC
17,17,1,543,1738,1486,1578,MP
17,18,8,603,815,832,1084,DF
17,19,7,2768,3148,1534,1729,CF
17,20,6,5078,2571,965,1281,ACF
17,21,5,886,1701,792,1433,MPF
17,22,4,1120,919,915,1032,DB
17,23,3,1550,1902,1236,888,CB
17,24,2,1317,1327,954,165,AC
17,25,1,991,1440,706,616,MP
17,26,8,397,3119,1052,2029,DF
17,27,7,609,813,522,1161,CF
17,28,6,746,1188,728,640,ACF
17,29,5,631,1524,597,297,MPF
17,30,4,579,1016,1684,598,DB
17,31,3,837,1074,426,957,CB
17,32,2,1425,2017,810,1557,AC
18,1,2,571,2294,2090,938,AC
18,2,1,1622,1706,1807,1530,MP
18,3,8,921,768,1095,656,DF
18,4,7,701,1113,1699,409,CF
18,5,6,1281,1704,985,572,ACF
18,6,5,1104,1700,1401,1050,MPF
18,7,4,5448,4088,4591,2790,DB
18,8,3,1218,1847,1050,630,CB
18,9,2,427,1315,1159,868,AC
18,10,1,991,1655,456,550,MP
18,11,8,912,1280,1454,1063,DF
18,12,7,859,2194,2216,599,CF
18,13,6,1446,2660,3883,3846,ACF
18,14,5,1899,3007,2281,1855,MPF
18,15,4,2185,1444,732,755,DB
18,16,3,2405,3202,1076,636,CB
18,17,2,755,1382,1614,708,AC
18,18,1,905,1460,949,462,MP
18,19,8,3189,3377,2241,1956,DF
18,20,7,1118,1844,2039,686,CF
18,21,6,1281,1527,1219,771,ACF
18,22,5,2919,3435,1765,868,MPF
18,23,4,826,1048,1740,729,DB
18,24,3,1428,1681,975,705,CB
18,25,2,5071,4922,5277,3244,AC
18,26,1,1040,2630,738,359,MP
18,27,8,956,1356,1391,843,DF
18,28,7,1104,2158,1353,993,CF
18,29,6,2149,3928,2391,2606,ACF
18,30,5,1289,1502,1006,671,MPF
18,31,4,397,811,902,654,DB
18,32,3,676,1056,626,742,CB
19,1,3,523,666,210,944,CB
19,2,2,287,703,704,246,AC
19,3,1,2861,1463,1016,1787,MP
19,4,8,1008,950,794,306,DF
19,5,7,289,572,1139,,CF
19,6,6,1179,1743,2725,972,ACF
19,7,5,1968,3084,1131,653,MPF
19,8,4,318,834,1146,1231,DB
19,9,3,610,969,352,254,CB
19,10,2,1356,1657,1099,311,AC
19,11,1,734,699,547,264,MP
19,12,8,851,798,474,1019,DF
19,13,7,774,1440,1389,445,CF
19,14,6,1972,1869,656,131,ACF
19,15,5,3448,2388,2650,1230,MPF
19,16,4,337,1392,698,311,DB
19,17,3,2859,987,478,835,CB
19,18,2,1777,2500,987,,AC
19,19,1,327,726,464,171,MP
19,20,8,474,899,1284,937,DF
19,21,7,1069,1028,534,1362,CF
19,22,6,1685,1622,1700,845,ACF
19,23,5,2924,2628,2028,1703,MPF
19,24,4,1706,1464,1386,1303,DB
19,25,3,1037,1498,818,2732,CB
19,26,2,1909,3218,915,1333,AC
19,27,1,2620,1112,376,427,MP
19,28,8,351,764,368,838,DF
19,29,7,2442,1877,467,549,CF
19,30,6,757,1203,1817,,ACF
19,31,5,1062,2895,858,1809,MPF
19,32,4,1756,654,1068,,DB
20,1,4,871,751,693,527,DB
20,2,3,590,1304,749,438,CB
20,3,2,1139,2450,1728,715,AC
20,4,1,550,1274,538,385,MP
20,5,8,2128,3735,1376,1335,DF
20,6,7,1305,2073,1881,1122,CF
